base_name,sample_number,sample_file,reward_score,footprint_count
c35a2b1b-8474-4492-b3b6-41862ac5036c,1,c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_1.py,0.5171232876712328,130
c35a2b1b-8474-4492-b3b6-41862ac5036c,2,c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_2.py,0.4576923076923076,37
c35a2b1b-8474-4492-b3b6-41862ac5036c,3,c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_3.py,0.5206896551724136,15
c35a2b1b-8474-4492-b3b6-41862ac5036c,4,c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_4.py,0.5379310344827586,16
c37e68ef-2601-41c3-97b1-ee12581c44be,1,c37e68ef-2601-41c3-97b1-ee12581c44be_sample_1.py,0.6333333333333333,18
c37e68ef-2601-41c3-97b1-ee12581c44be,2,c37e68ef-2601-41c3-97b1-ee12581c44be_sample_2.py,0.6379310344827587,17
c37e68ef-2601-41c3-97b1-ee12581c44be,3,c37e68ef-2601-41c3-97b1-ee12581c44be_sample_3.py,-1.0,
c37e68ef-2601-41c3-97b1-ee12581c44be,4,c37e68ef-2601-41c3-97b1-ee12581c44be_sample_4.py,-1.0,
c4171bc6-df59-4b81-bb6b-498a97ae24bb,1,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_1.py,0.8076923076923077,21
c4171bc6-df59-4b81-bb6b-498a97ae24bb,2,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_2.py,0.6785714285714286,17
c4171bc6-df59-4b81-bb6b-498a97ae24bb,3,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_3.py,-1.0,
c4171bc6-df59-4b81-bb6b-498a97ae24bb,4,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_4.py,0.7708333333333333,16
c439f889-faad-4311-b32e-0b0b64b52321,1,c439f889-faad-4311-b32e-0b0b64b52321_sample_1.py,0.6142857142857141,16
c439f889-faad-4311-b32e-0b0b64b52321,2,c439f889-faad-4311-b32e-0b0b64b52321_sample_2.py,-1.0,
c439f889-faad-4311-b32e-0b0b64b52321,3,c439f889-faad-4311-b32e-0b0b64b52321_sample_3.py,0.640625,17
c439f889-faad-4311-b32e-0b0b64b52321,4,c439f889-faad-4311-b32e-0b0b64b52321_sample_4.py,0.6499999999999999,15
c454ff48-c41e-4b36-8242-928c03d94dd3,1,c454ff48-c41e-4b36-8242-928c03d94dd3_sample_1.py,0.6666666666666667,16
c454ff48-c41e-4b36-8242-928c03d94dd3,2,c454ff48-c41e-4b36-8242-928c03d94dd3_sample_2.py,0.6724137931034484,15
c454ff48-c41e-4b36-8242-928c03d94dd3,3,c454ff48-c41e-4b36-8242-928c03d94dd3_sample_3.py,0.6724137931034484,15
c454ff48-c41e-4b36-8242-928c03d94dd3,4,c454ff48-c41e-4b36-8242-928c03d94dd3_sample_4.py,0.5703125,49
c45d4277-1042-4f37-a771-c3cdb80e84c3,1,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_1.py,0.6666666666666667,25
c45d4277-1042-4f37-a771-c3cdb80e84c3,2,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_2.py,-1.0,
c45d4277-1042-4f37-a771-c3cdb80e84c3,3,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_3.py,0.7272727272727273,21
c45d4277-1042-4f37-a771-c3cdb80e84c3,4,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_4.py,0.65625,15
c4615489-a080-40d0-b747-8d0cde9ae394,1,c4615489-a080-40d0-b747-8d0cde9ae394_sample_1.py,-1.0,
c4615489-a080-40d0-b747-8d0cde9ae394,2,c4615489-a080-40d0-b747-8d0cde9ae394_sample_2.py,0.6388888888888888,18
c4615489-a080-40d0-b747-8d0cde9ae394,3,c4615489-a080-40d0-b747-8d0cde9ae394_sample_3.py,0.6707317073170731,27
c4615489-a080-40d0-b747-8d0cde9ae394,4,c4615489-a080-40d0-b747-8d0cde9ae394_sample_4.py,0.5625,53
c497c902-6e69-4406-82f7-b0e63234cc68,1,c497c902-6e69-4406-82f7-b0e63234cc68_sample_1.py,0.6724137931034484,14
c497c902-6e69-4406-82f7-b0e63234cc68,2,c497c902-6e69-4406-82f7-b0e63234cc68_sample_2.py,0.640625,16
c497c902-6e69-4406-82f7-b0e63234cc68,3,c497c902-6e69-4406-82f7-b0e63234cc68_sample_3.py,-1.0,
c497c902-6e69-4406-82f7-b0e63234cc68,4,c497c902-6e69-4406-82f7-b0e63234cc68_sample_4.py,0.6724137931034484,14
c49e6501-52c0-4fb0-b040-3b221c891a0a,1,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_1.py,0.5666666666666667,17
c49e6501-52c0-4fb0-b040-3b221c891a0a,2,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_2.py,0.6195652173913044,18
c49e6501-52c0-4fb0-b040-3b221c891a0a,3,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_3.py,0.6477272727272727,18
c49e6501-52c0-4fb0-b040-3b221c891a0a,4,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_4.py,-1.0,
c4b38e75-a504-4414-83ea-160cc607139a,1,c4b38e75-a504-4414-83ea-160cc607139a_sample_1.py,-1.0,
c4b38e75-a504-4414-83ea-160cc607139a,2,c4b38e75-a504-4414-83ea-160cc607139a_sample_2.py,0.5290322580645159,18
c4b38e75-a504-4414-83ea-160cc607139a,3,c4b38e75-a504-4414-83ea-160cc607139a_sample_3.py,0.6666666666666667,15
c4b38e75-a504-4414-83ea-160cc607139a,4,c4b38e75-a504-4414-83ea-160cc607139a_sample_4.py,0.6923076923076923,15
