base_name,sample_number,sample_file,reward_score,footprint_count
c4171bc6-df59-4b81-bb6b-498a97ae24bb,1,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_1.py,0.5069204152249136,272
c4171bc6-df59-4b81-bb6b-498a97ae24bb,2,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_2.py,0.7708333333333333,16
c4171bc6-df59-4b81-bb6b-498a97ae24bb,3,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_3.py,0.5069204152249136,272
c4171bc6-df59-4b81-bb6b-498a97ae24bb,4,c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_4.py,0.5069204152249136,272
c439f889-faad-4311-b32e-0b0b64b52321,1,c439f889-faad-4311-b32e-0b0b64b52321_sample_1.py,0.5103448275862068,272
c439f889-faad-4311-b32e-0b0b64b52321,2,c439f889-faad-4311-b32e-0b0b64b52321_sample_2.py,0.5103448275862068,272
c439f889-faad-4311-b32e-0b0b64b52321,3,c439f889-faad-4311-b32e-0b0b64b52321_sample_3.py,0.5103448275862068,272
c439f889-faad-4311-b32e-0b0b64b52321,4,c439f889-faad-4311-b32e-0b0b64b52321_sample_4.py,0.5103448275862068,272
c45d4277-1042-4f37-a771-c3cdb80e84c3,1,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_1.py,0.5266666666666666,210
c45d4277-1042-4f37-a771-c3cdb80e84c3,2,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_2.py,0.5309523809523808,196
c45d4277-1042-4f37-a771-c3cdb80e84c3,3,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_3.py,0.5266666666666666,210
c45d4277-1042-4f37-a771-c3cdb80e84c3,4,c45d4277-1042-4f37-a771-c3cdb80e84c3_sample_4.py,0.5266666666666666,210
c49e6501-52c0-4fb0-b040-3b221c891a0a,1,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_1.py,0.5380622837370241,272
c49e6501-52c0-4fb0-b040-3b221c891a0a,2,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_2.py,0.5380622837370241,272
